Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,surge,heave,pitch
0.728056,-0.001217,-0.005146,0.005666,-0.006352,-0.006804,-0.007106,-0.006997,0.003029,-0.004015,0.005522,-0.006976,-0.005882,0.000778,-0.007252,-0.006623,0.000441,0.000205,0.61696542
0.736039,-0.000156,-0.004254,0.006651,-0.005518,-0.005988,-0.006278,-0.006166,0.004129,-0.003069,0.00608,-0.006153,-0.005022,0.001878,-0.006422,-0.005803,0.000491,0.000208,0.62652634
0.744052,0.000987,-0.003082,0.007597,-0.004319,-0.004787,-0.005179,-0.005092,0.005217,-0.0019,0.006615,-0.005004,-0.003841,0.003004,-0.005325,-0.004593,0.000423,0.000224,0.64212416
0.75204,0.002173,-0.001939,0.008581,-0.003216,-0.0037,-0.004064,-0.004013,0.006366,-0.000744,0.007152,-0.003899,-0.002714,0.004192,-0.004216,-0.003504,0.00029,0.000229,0.65278621
0.760008,0.003365,-0.000879,0.009608,-0.002217,-0.002738,-0.003119,-0.003044,0.007546,0.000372,0.007721,-0.002947,-0.001689,0.0054,-0.003259,-0.002526,0.000335,0.000232,0.66025433
0.768037,0.004715,0.000334,0.010734,-0.001085,-0.001632,-0.002032,-0.001892,0.008868,0.00165,0.008314,-0.001862,-0.000524,0.006758,-0.002129,-0.001408,0.000477,0.000226,0.66291042
0.776013,0.006028,0.001538,0.011832,0.000062,-0.000512,-0.000896,-0.000785,0.01016,0.002888,0.008891,-0.000737,0.000652,0.008089,-0.000987,-0.000279,0.000519,0.000239,0.6723335
0.784027,0.007369,0.002949,0.012822,0.001484,0.000905,0.000437,0.000482,0.011357,0.004288,0.009408,0.000646,0.002072,0.009372,0.00032,0.001143,0.000421,0.00026,0.68622186
0.792054,0.008694,0.004184,0.013892,0.002677,0.00208,0.00161,0.001655,0.01264,0.005556,0.00995,0.001823,0.003282,0.010705,0.001504,0.002326,0.000283,0.000267,0.69207372
0.800017,0.010031,0.005391,0.014999,0.003822,0.003178,0.002709,0.002793,0.013953,0.006819,0.01051,0.002907,0.004453,0.012056,0.002641,0.003447,0.000346,0.000263,0.6894513
0.80802,0.011511,0.006756,0.016102,0.005077,0.004414,0.003944,0.004089,0.015321,0.008246,0.011047,0.004139,0.005755,0.013511,0.003924,0.004685,0.000479,0.000275,0.696143
0.816029,0.012995,0.008191,0.01721,0.006478,0.005783,0.00531,0.005367,0.016696,0.009699,0.011575,0.005514,0.007178,0.014972,0.005268,0.006066,0.000479,0.000291,0.70254614
0.824022,0.014436,0.009735,0.018239,0.008057,0.007346,0.006744,0.006746,0.017979,0.011218,0.01206,0.007017,0.008741,0.016351,0.006679,0.007647,0.000397,0.000301,0.70589066
0.832011,0.015846,0.011001,0.019296,0.00925,0.008518,0.007941,0.008007,0.019307,0.012545,0.012544,0.008185,0.009961,0.017756,0.00793,0.008829,0.000304,0.000317,0.71291955
0.84,0.017281,0.012327,0.02034,0.010464,0.00969,0.009189,0.00926,0.020634,0.013923,0.013015,0.009394,0.011235,0.019175,0.009207,0.010007,0.000306,0.000317,0.7117947
0.848004,0.018832,0.013811,0.021421,0.011876,0.011092,0.010518,0.010597,0.022025,0.01546,0.013485,0.010763,0.012672,0.020677,0.010548,0.011413,0.000411,0.000316,0.71083237
0.856016,0.020374,0.015368,0.022455,0.013466,0.012626,0.011968,0.012006,0.02339,0.017013,0.013916,0.012246,0.014251,0.022167,0.011994,0.012985,0.000471,0.000333,0.71872226
0.864035,0.021834,0.016947,0.023383,0.014997,0.014128,0.013461,0.013454,0.024636,0.018565,0.014288,0.013743,0.015816,0.023549,0.013488,0.014497,0.000368,0.000345,0.72583974
0.872056,0.023279,0.018198,0.024366,0.016133,0.015282,0.014672,0.014673,0.025937,0.019916,0.01468,0.014932,0.016988,0.024964,0.014716,0.015634,0.000242,0.000355,0.73273069
0.880001,0.024715,0.019561,0.02531,0.017475,0.016571,0.015902,0.015954,0.02722,0.021306,0.015034,0.016175,0.018344,0.026367,0.015981,0.016954,0.000272,0.000334,0.72357436
0.888014,0.026232,0.021133,0.026239,0.018964,0.01798,0.017279,0.017349,0.028508,0.022887,0.015365,0.017548,0.01988,0.0278,0.017388,0.018401,0.000376,0.000337,0.72792567
